t,value
1539786673,0
1539786676,0
1539786679,0
1539786682,0
1539786685,0
1539786688,0
1539786691,0
1539786694,0
1539786697,0
1539786700,0
1539786703,0
1539786706,0
1539786709,0
1539786712,0
1539786715,0
1539786718,0
1539786721,0
1539786724,0
1539786727,0
1539786730,0
1539786733,0
1539786736,0
1539786739,0
1539786742,0
1539786745,0
1539786748,0
1539786751,0
1539786754,0
1539786757,0
1539786760,0
1539786763,0
1539786766,0
1539786769,0
1539786772,0
1539786775,0
1539786778,0
1539786781,0
t,value
1539786800,0
1539786803,0
1539786806,0
1539786809,0
1539786812,0
1539786815,0
1539786818,0
1539786821,0
1539786824,0
1539786827,0
1539786830,0
1539786833,0
1539786836,0
1539786839,0
1539786842,1383
1539786845,2173
1539786848,2174
1539786851,9226
1539786854,9755
1539786857,9805
1539786860,9846
1539786863,10102
1539786866,10240
1539786869,10626
1539786872,10822
1539786875,10822
1539786878,10822
1539786881,10822
1539786884,10935
1539786887,10935
1539786890,10935
1539786893,10935
1539786896,10935
1539786899,10935
1539786902,10949
1539786905,11024
1539786908,11024
1539786911,11024
1539786914,11024
1539786917,11024
1539786920,11024
1539786923,11199
1539786926,11199
1539786929,11199
1539786932,11199
1539786935,11199
1539786938,11199
1539786941,11199
1539786944,11291
1539786947,11291
1539786950,11291
1539786953,11291
1539786956,11291
1539786959,11291
1539786962,11310
1539786965,11394
1539786968,11394
1539786971,11394
1539786974,11394
1539786977,11394
1539786980,11394
1539786983,11451
1539786986,11451
1539786989,11451
1539786992,11451
1539786995,11451
1539786998,11451
1539787001,11451
1539787004,11499
1539787007,11499
1539787010,11499
1539787013,11499
1539787016,11499
1539787019,11499
1539787022,11509
1539787025,11544
1539787028,11544
1539787031,11544
1539787034,11544
1539787037,11544
1539787040,11544
1539787043,11587
1539787046,11587
1539787049,11587
1539787052,11587
1539787055,11587
1539787058,11587
1539787061,11587
1539787064,11622
1539787067,11622
1539787070,11622
1539787073,11622
1539787076,11622
1539787079,11622
1539787082,11627
1539787085,11653
1539787088,11653
1539787091,11653
1539787094,11653
1539787097,11653
1539787100,11653
1539787103,11719
1539787106,11719
1539787109,11719
1539787112,11719
1539787115,11719
1539787118,11719
1539787121,11719
1539787124,11758
1539787127,11758
1539787130,11758
1539787133,11758
1539787136,11758
1539787139,11758
1539787142,11766
1539787145,11787
1539787148,11787
1539787151,11787
1539787154,11787
1539787157,11787
1539787160,11787
1539787163,11844
1539787166,11844
1539787169,11844
1539787172,11844
1539787175,11844
1539787178,11844
1539787181,11844
1539787184,11882
1539787187,11882
1539787190,11882
1539787193,11882
1539787196,11882
1539787199,11882
1539787202,11900
1539787205,11942
1539787208,11942
1539787211,11942
1539787214,11942
1539787217,11942
1539787220,11942
1539787223,12014
t,value
1539796323,0
1539796326,0
1539796329,0
1539796332,0
1539796335,0
1539796338,0
1539796341,0
1539796344,0
1539796347,0
1539796350,0
1539796353,0
1539796356,0
1539796359,0
1539796362,0
1539796365,0
1539796368,0
1539796371,0
1539796374,0
1539796377,0
1539796380,0
1539796383,0
1539796386,0
1539796389,0
1539796392,0
1539796395,27
1539796398,2660
1539796401,2660
1539796404,2660
1539796407,2660
1539796410,2660
1539796413,2660
1539796416,2660
1539796419,2660
1539796422,2660
1539796425,2948
1539796428,2948
1539796431,2948
1539796434,2948
1539796437,2948
1539796440,2954
1539796443,2954
1539796446,2954
1539796449,2954
1539796452,2954
1539796455,3008
1539796458,3008
1539796461,3008
1539796464,3008
1539796467,3008
1539796470,3058
1539796473,3058
1539796476,3058
1539796479,3058
1539796482,3117
1539796485,3117
1539796488,3117
1539796491,3117
1539796494,3117
1539796497,3181
1539796500,3181
1539796503,3181
1539796506,3181
1539796509,3181
1539796512,3181
1539796515,3259
1539796518,3259
1539796521,3259
1539796524,3259
1539796527,3259
1539796530,3297
1539796533,3297
1539796536,3297
1539796539,3297
1539796542,3297
1539796545,3301
1539796548,3325
1539796551,3325
1539796554,3325
1539796557,3325
1539796560,3325
1539796563,3325
1539796566,3497
1539796569,3497
1539796572,3497
1539796575,3497
1539796578,3497
1539796581,3497
1539796584,3537
1539796587,3552
1539796590,3552
1539796593,3552
1539796596,3552
1539796599,3552
1539796602,3552
1539796605,3645
1539796608,3645
1539796611,3645
1539796614,3645
1539796617,3645
1539796620,3645
1539796623,3645
1539796626,3645
1539796629,3645
1539796632,3645
1539796635,3758
1539796638,3758
1539796641,3758
1539796644,3758
1539796647,3758
1539796650,3758
1539796653,3758
1539796656,3758
1539796659,3758
1539796662,3758
1539796665,3758
1539796668,3767
1539796671,3767
1539796674,3767
1539796677,3767
1539796680,3767
1539796683,3767
1539796686,3767
1539796689,3767
1539796692,3767
1539796695,3767
1539796698,3812
1539796701,3812
1539796704,3812
1539796707,3812
1539796710,3812
1539796713,3812
1539796716,3812
1539796719,3812
1539796722,3812
1539796725,3827
1539796728,3827
1539796731,3827
1539796734,3827
1539796737,3827
1539796740,3827
1539796743,3827
1539796746,3827
1539796749,3827
1539796752,3827
1539796755,3827
1539796758,3936
1539796761,3936
1539796764,3936
1539796767,3936
1539796770,3936
1539796773,3936
1539796776,3936
1539796779,3936
1539796782,3968
1539796785,3968
1539796788,3968
1539796791,3968
1539796794,3968
1539796797,3968
1539796800,3968
1539796803,3968
1539796806,3968
1539796809,3968
1539796812,3978
1539796815,3978
1539796818,3978
1539796821,3978
1539796824,3978
1539796827,3978
1539796830,3978
1539796833,3978
1539796836,3978
1539796839,3978
1539796842,3978
1539796845,4029
1539796848,4029
1539796851,4029
1539796854,4029
1539796857,4029
1539796860,4029
1539796863,4029
1539796866,4029
1539796869,4029
1539796872,4029
1539796875,4029
1539796878,4047
1539796881,4047
1539796884,4047
1539796887,4047
1539796890,4047
1539796893,4047
1539796896,4047
1539796899,4047
1539796902,4073
1539796905,4073
1539796908,4073
1539796911,4073
1539796914,4073
1539796917,4073
1539796920,4073
1539796923,4073
1539796926,4073
1539796929,4073
1539796932,4073
1539796935,4073
1539796938,4079
1539796941,4079
1539796944,4079
1539796947,4079
1539796950,4079
1539796953,4079
1539796956,4079
1539796959,4079
1539796962,4230
1539796965,4230
1539796968,4230
1539796971,4230
1539796974,4230
1539796977,4230
1539796980,4230
1539796983,4230
1539796986,4230
1539796989,4230
1539796992,4256
1539796995,4256
1539796998,4256
1539797001,4256
1539797004,4256
1539797007,4256
1539797010,4256
1539797013,4256
1539797016,4258
1539797019,4258
1539797022,4258
1539797025,4258
1539797028,4258
1539797031,4258
1539797034,4258
1539797037,4258
1539797040,4258
1539797043,4258
1539797046,4258
1539797049,4258
1539797052,4317
1539797055,4317
1539797058,4317
1539797061,4317
1539797064,4317
1539797067,4317
1539797070,4317
1539797073,4317
1539797076,4317
1539797079,4317
1539797082,4317
1539797085,4317
1539797088,4317
1539797091,4317
1539797094,4317
1539797097,4320
1539797100,4320
1539797103,4320
1539797106,4320
1539797109,4320
1539797112,4320
1539797115,4320
1539797118,4320
1539797121,4320
1539797124,4320
1539797127,4320
1539797130,4320
1539797133,4320
1539797136,4320
1539797139,4357
1539797142,4357
1539797145,4357
1539797148,4357
1539797151,4357
1539797154,4357
1539797157,4357
1539797160,4357
1539797163,4357
1539797166,4357
1539797169,4357
1539797172,4357
1539797175,4357
1539797178,4404
1539797181,4404
1539797184,4404
1539797187,4404
1539797190,4404
1539797193,4404
1539797196,4404
1539797199,4404
1539797202,4404
1539797205,4404
1539797208,4404
1539797211,4405
1539797214,4405
1539797217,4405
1539797220,4405
1539797223,4405
1539797226,4405
1539797229,4405
1539797232,4405
1539797235,4405
1539797238,4439
1539797241,4439
1539797244,4439
1539797247,4439
1539797250,4439
