t,value
1539786673,0
1539786676,0
1539786679,0
1539786682,0
1539786685,0
1539786688,0
1539786691,0
1539786694,0
1539786697,0
1539786700,0
1539786703,0
1539786706,0
1539786709,0
1539786712,0
1539786715,0
1539786718,0
1539786721,0
1539786724,0
1539786727,0
1539786730,0
1539786733,0
1539786736,0
1539786739,0
1539786742,0
1539786745,0
1539786748,0
1539786751,0
1539786754,0
1539786757,0
1539786760,0
1539786763,0
1539786766,0
1539786769,0
1539786772,0
1539786775,0
1539786778,0
1539786781,0
t,value
1539786800,0
1539786803,0
1539786806,0
1539786809,0
1539786812,0
1539786815,0
1539786818,0
1539786821,0
1539786824,0
1539786827,0
1539786830,0
1539786833,0
1539786836,0
1539786839,0
1539786842,1
1539786845,4
1539786848,4
1539786851,5
1539786854,8
1539786857,9
1539786860,10
1539786863,15
1539786866,17
1539786869,19
1539786872,22
1539786875,22
1539786878,22
1539786881,22
1539786884,25
1539786887,25
1539786890,25
1539786893,25
1539786896,25
1539786899,25
1539786902,26
1539786905,28
1539786908,28
1539786911,28
1539786914,28
1539786917,28
1539786920,28
1539786923,31
1539786926,31
1539786929,31
1539786932,31
1539786935,31
1539786938,31
1539786941,31
1539786944,34
1539786947,34
1539786950,34
1539786953,34
1539786956,34
1539786959,34
1539786962,36
1539786965,37
1539786968,37
1539786971,37
1539786974,37
1539786977,37
1539786980,37
1539786983,40
1539786986,40
1539786989,40
1539786992,40
1539786995,40
1539786998,40
1539787001,40
1539787004,43
1539787007,43
1539787010,43
1539787013,43
1539787016,43
1539787019,43
1539787022,45
1539787025,46
1539787028,46
1539787031,46
1539787034,46
1539787037,46
1539787040,46
1539787043,49
1539787046,49
1539787049,49
1539787052,49
1539787055,49
1539787058,49
1539787061,49
1539787064,52
1539787067,52
1539787070,52
1539787073,52
1539787076,52
1539787079,52
1539787082,53
1539787085,55
1539787088,55
1539787091,55
1539787094,55
1539787097,55
1539787100,55
1539787103,58
1539787106,58
1539787109,58
1539787112,58
1539787115,58
1539787118,58
1539787121,58
1539787124,61
1539787127,61
1539787130,61
1539787133,61
1539787136,61
1539787139,61
1539787142,63
1539787145,64
1539787148,64
1539787151,64
1539787154,64
1539787157,64
1539787160,64
1539787163,67
1539787166,67
1539787169,67
1539787172,67
1539787175,67
1539787178,67
1539787181,67
1539787184,70
1539787187,70
1539787190,70
1539787193,70
1539787196,70
1539787199,70
1539787202,72
1539787205,73
1539787208,73
1539787211,73
1539787214,73
1539787217,73
1539787220,73
1539787223,76
