t,value
1539798030,303
1539798930,23
t,value
1540732806,106
1540733706,410
1540734606,73
1540736628,1144
1540737528,48
1540738429,805
1540739329,149
1540740229,47
t,value
1540825392,325
1540826292,194
1540827192,101
1540837644,8620
1540838542,367
1540839443,145
1540842663,278
1540843563,114
1540844733,169
1540845634,178
t,value
1540918937,2047
1540920047,94
1540920947,51
1540921847,136
1540922747,234
1540923652,4305
1540924553,991
1540925453,171
1540926362,1966
1540927262,67
1540928162,226
1540929062,220
1540929964,916
1540930865,704
1540931765,281
1540932666,280
1540933566,202
1540934466,96
1540935366,230
1540936267,258
t,value
1541242223,749
1541243128,498
1541245849,228
1541246749,223
t,value
1541675952,437
t,value
1542121979,644
1542122880,88
1542123780,323
1542124683,3118
1542125594,254
1542126643,21
1542127544,39
1542133194,89
t,value
1542144361,57722
t,value
1542886327,165
1542887227,250
1542891967,61
1542892918,359
1542893818,45
1542895028,132
t,value
1543144257,144
t,value
1543501596,200
1543503986,87
1543504886,324
1543507496,293
1543508397,107
t,value
1544107363,494
1544108263,116
1544109163,87
1544110063,223
t,value
1544737098,352
t,value
1544783919,577
1544784819,134
1544785719,44
1544787030,93
1544787930,290
1544797811,366
1544798715,3666
1544799623,245
1544800524,678
1544801425,204
1544802325,569
1544803825,121
1544804726,101
1544805626,519
1544806527,1085
1544807428,129
t,value
1544868848,24845
1544884671,690
1544885583,11206
t,value
1544892953,392
1544893853,141
1544895004,20
1544895904,101
1544896804,42
1544897704,16
1544899124,37
1544900025,692
1544901596,307
1544902496,132
1544903506,29
1544904406,141
1544905306,58
1544909917,33
1544910817,26
t,value
1544966053,165
1544966953,100
1544967853,102
1544968753,40
1544969653,153
1544970559,522
1544971459,68
1544972359,41
1544973463,5313
1544974362,174
1544975262,196
t,value
1545228837,136
1545229737,64
1545230638,129
1545231538,52
1545232438,120
1545233338,59
t,value
1553883157,184
t,value
1553960233,175
1553961193,114
1553962093,155
1553962993,49
1553964334,47
t,value
1554019882,121
t,value
1554028349,190
1554039710,147
1554040610,251
t,value
1554045606,174
t,value
1554109943,174
1554112943,78
