t,value
1539786673,32
1539786676,32
1539786679,32
1539786682,32
1539786685,32
1539786688,32
1539786691,32
1539786694,32
1539786697,32
1539786700,32
1539786703,32
1539786706,32
1539786709,32
1539786712,32
1539786715,32
1539786718,32
1539786721,32
1539786724,32
1539786727,32
1539786730,32
1539786733,38
1539786736,38
1539786739,38
1539786742,38
1539786745,38
1539786748,38
1539786751,38
1539786754,38
1539786757,38
1539786760,38
1539786763,38
1539786766,38
1539786769,38
1539786772,38
1539786775,38
1539786778,38
1539786781,38
t,value
1539786800,17
1539786803,17
1539786806,17
1539786809,17
1539786812,18
1539786815,18
1539786818,18
1539786821,18
1539786824,18
1539786827,18
1539786830,18
1539786833,18
1539786836,18
1539786839,18
1539786842,18
1539786845,18
1539786848,18
1539786851,18
1539786854,18
1539786857,18
1539786860,25
1539786863,25
1539786866,25
1539786869,25
1539786872,25
1539786875,25
1539786878,25
1539786881,25
1539786884,25
1539786887,25
1539786890,25
1539786893,25
1539786896,25
1539786899,25
1539786902,25
1539786905,25
1539786908,25
1539786911,25
1539786914,25
1539786917,25
1539786920,32
1539786923,32
1539786926,32
1539786929,32
1539786932,32
1539786935,32
1539786938,32
1539786941,32
1539786944,32
1539786947,32
1539786950,32
1539786953,32
1539786956,32
1539786959,32
1539786962,32
1539786965,32
1539786968,32
1539786971,32
1539786974,32
1539786977,32
1539786980,39
1539786983,39
1539786986,39
1539786989,39
1539786992,39
1539786995,39
1539786998,39
1539787001,39
1539787004,39
1539787007,39
1539787010,39
1539787013,39
1539787016,39
1539787019,39
1539787022,39
1539787025,39
1539787028,39
1539787031,39
1539787034,39
1539787037,39
1539787040,46
1539787043,46
1539787046,46
1539787049,46
1539787052,46
1539787055,46
1539787058,46
1539787061,46
1539787064,46
1539787067,46
1539787070,46
1539787073,46
1539787076,46
1539787079,46
1539787082,46
1539787085,46
1539787088,46
1539787091,46
1539787094,46
1539787097,46
1539787100,53
1539787103,53
1539787106,53
1539787109,53
1539787112,53
1539787115,53
1539787118,53
1539787121,53
1539787124,53
1539787127,53
1539787130,53
1539787133,53
1539787136,53
1539787139,53
1539787142,53
1539787145,53
1539787148,53
1539787151,53
1539787154,53
1539787157,53
1539787160,60
1539787163,60
1539787166,60
1539787169,60
1539787172,60
1539787175,60
1539787178,60
1539787181,60
1539787184,60
1539787187,60
1539787190,60
1539787193,60
1539787196,60
1539787199,60
1539787202,60
1539787205,60
1539787208,60
1539787211,60
1539787214,60
1539787217,60
1539787220,67
1539787223,67
t,value
1539796323,43
1539796326,44
1539796329,44
1539796332,44
1539796335,44
1539796338,44
1539796341,44
1539796344,44
1539796347,44
1539796350,44
1539796353,44
1539796356,44
1539796359,44
1539796362,44
1539796365,44
1539796368,44
1539796371,44
1539796374,44
1539796377,44
1539796380,44
1539796383,67
1539796386,67
1539796389,67
1539796392,67
1539796395,67
1539796398,417
1539796401,417
1539796404,417
1539796407,417
1539796410,417
1539796413,417
1539796416,417
1539796419,417
1539796422,417
1539796425,767
1539796428,767
1539796431,767
1539796434,767
1539796437,767
1539796440,776
1539796443,804
1539796446,804
1539796449,804
1539796452,804
1539796455,879
1539796458,879
1539796461,879
1539796464,879
1539796467,879
1539796470,958
1539796473,958
1539796476,958
1539796479,958
1539796482,1092
1539796485,1092
1539796488,1092
1539796491,1092
