t,value
1539786673,22
1539786676,22
1539786679,22
1539786682,22
1539786685,22
1539786688,22
1539786691,22
1539786694,22
1539786697,22
1539786700,23
1539786703,23
1539786706,23
1539786709,23
1539786712,23
1539786715,23
1539786718,23
1539786721,23
1539786724,23
1539786727,23
1539786730,23
1539786733,23
1539786736,23
1539786739,23
1539786742,23
1539786745,23
1539786748,23
1539786751,23
1539786754,23
1539786757,23
1539786760,23
1539786763,23
1539786766,23
1539786769,23
1539786772,23
1539786775,23
1539786778,23
1539786781,23
t,value
1539786800,19
1539786803,19
1539786806,19
1539786809,19
1539786812,19
1539786815,19
1539786818,19
1539786821,19
1539786824,19
1539786827,19
1539786830,19
1539786833,19
1539786836,19
1539786839,19
1539786842,19
1539786845,19
1539786848,19
1539786851,19
1539786854,19
1539786857,19
1539786860,19
1539786863,19
1539786866,19
1539786869,19
1539786872,19
1539786875,19
1539786878,19
1539786881,19
1539786884,19
1539786887,19
1539786890,19
1539786893,19
1539786896,19
1539786899,19
1539786902,19
1539786905,19
1539786908,19
1539786911,19
1539786914,19
1539786917,19
1539786920,19
1539786923,19
1539786926,19
1539786929,19
1539786932,19
1539786935,19
1539786938,19
1539786941,19
1539786944,19
1539786947,19
1539786950,19
1539786953,19
1539786956,19
1539786959,19
1539786962,19
1539786965,19
1539786968,19
1539786971,19
1539786974,19
1539786977,19
1539786980,19
1539786983,19
1539786986,19
1539786989,19
1539786992,19
1539786995,19
1539786998,19
1539787001,19
1539787004,19
1539787007,19
1539787010,19
1539787013,19
1539787016,19
1539787019,19
1539787022,19
1539787025,19
1539787028,19
1539787031,19
1539787034,19
1539787037,19
1539787040,19
1539787043,19
1539787046,19
1539787049,19
1539787052,19
1539787055,19
1539787058,19
1539787061,19
1539787064,19
1539787067,19
1539787070,19
1539787073,19
1539787076,19
1539787079,19
1539787082,19
1539787085,19
1539787088,19
1539787091,19
1539787094,19
1539787097,19
1539787100,19
1539787103,19
1539787106,19
1539787109,19
1539787112,19
1539787115,19
1539787118,19
1539787121,19
1539787124,19
1539787127,19
1539787130,19
1539787133,19
1539787136,19
1539787139,19
1539787142,19
1539787145,19
1539787148,19
1539787151,19
1539787154,19
1539787157,19
1539787160,19
1539787163,19
1539787166,19
1539787169,19
1539787172,19
1539787175,19
1539787178,19
1539787181,19
1539787184,19
1539787187,19
1539787190,19
1539787193,19
1539787196,19
1539787199,19
1539787202,19
1539787205,19
1539787208,19
1539787211,19
1539787214,19
1539787217,19
1539787220,19
1539787223,19
