t,value
1539786673,68
1539786676,68
1539786679,68
1539786682,68
1539786685,68
1539786688,68
1539786691,68
1539786694,68
1539786697,68
1539786700,69
1539786703,69
1539786706,69
1539786709,69
1539786712,69
1539786715,69
1539786718,69
1539786721,69
1539786724,69
1539786727,69
1539786730,69
1539786733,89
1539786736,89
1539786739,89
1539786742,89
1539786745,89
1539786748,89
1539786751,89
1539786754,89
1539786757,89
1539786760,89
1539786763,89
1539786766,89
1539786769,89
1539786772,89
1539786775,89
1539786778,89
1539786781,89
t,value
1539786800,49
1539786803,49
1539786806,49
1539786809,49
1539786812,50
1539786815,50
1539786818,50
1539786821,50
1539786824,50
1539786827,50
1539786830,50
1539786833,50
1539786836,50
1539786839,50
1539786842,50
1539786845,50
1539786848,50
1539786851,50
1539786854,50
1539786857,50
1539786860,70
1539786863,70
1539786866,70
1539786869,70
1539786872,70
1539786875,70
1539786878,70
1539786881,70
1539786884,70
1539786887,70
1539786890,70
1539786893,70
1539786896,70
1539786899,70
1539786902,70
1539786905,70
1539786908,70
1539786911,70
1539786914,70
1539786917,70
1539786920,90
1539786923,90
1539786926,90
1539786929,90
1539786932,90
1539786935,90
1539786938,90
1539786941,90
1539786944,90
1539786947,90
1539786950,90
1539786953,90
1539786956,90
1539786959,90
1539786962,90
1539786965,90
1539786968,90
1539786971,90
1539786974,90
1539786977,90
1539786980,110
1539786983,110
1539786986,110
1539786989,110
1539786992,110
1539786995,110
1539786998,110
1539787001,110
1539787004,110
1539787007,110
1539787010,110
1539787013,110
1539787016,110
1539787019,110
1539787022,110
1539787025,110
1539787028,110
1539787031,110
1539787034,110
1539787037,110
1539787040,130
1539787043,130
1539787046,130
1539787049,130
1539787052,130
1539787055,130
1539787058,130
1539787061,130
1539787064,130
1539787067,130
1539787070,130
1539787073,130
1539787076,130
1539787079,130
1539787082,130
1539787085,130
1539787088,130
1539787091,130
1539787094,130
1539787097,130
1539787100,150
1539787103,150
1539787106,150
1539787109,150
1539787112,150
1539787115,150
1539787118,150
1539787121,150
1539787124,150
1539787127,150
1539787130,150
1539787133,150
1539787136,150
1539787139,150
1539787142,150
1539787145,150
1539787148,150
1539787151,150
1539787154,150
1539787157,150
1539787160,170
1539787163,170
1539787166,170
1539787169,170
1539787172,170
1539787175,170
1539787178,170
1539787181,170
1539787184,170
1539787187,170
1539787190,170
1539787193,170
1539787196,170
1539787199,170
1539787202,170
1539787205,170
1539787208,170
1539787211,170
1539787214,170
1539787217,170
1539787220,190
1539787223,190
