t,value
1539786673,1.5280218368211588E-4
1539786676,1.5280218368211588E-4
1539786679,1.5280218368211588E-4
1539786682,1.5280218368211588E-4
1539786685,1.5280218368211588E-4
1539786688,1.5280218368211588E-4
1539786691,1.5280218368211588E-4
1539786694,1.5280218368211588E-4
1539786697,1.5280218368211588E-4
1539786700,1.5974773748584845E-4
1539786703,1.5974773748584845E-4
1539786706,1.5974773748584845E-4
1539786709,1.5974773748584845E-4
1539786712,1.5974773748584845E-4
1539786715,1.5974773748584845E-4
1539786718,1.5974773748584845E-4
1539786721,1.5974773748584845E-4
1539786724,1.5974773748584845E-4
1539786727,1.5974773748584845E-4
1539786730,1.5974773748584845E-4
1539786733,1.5974773748584845E-4
1539786736,1.5974773748584845E-4
1539786739,1.5974773748584845E-4
1539786742,1.5974773748584845E-4
1539786745,1.5974773748584845E-4
1539786748,1.5974773748584845E-4
1539786751,1.5974773748584845E-4
1539786754,1.5974773748584845E-4
1539786757,1.5974773748584845E-4
1539786760,1.5974773748584845E-4
1539786763,1.5974773748584845E-4
1539786766,1.5974773748584845E-4
1539786769,1.5974773748584845E-4
1539786772,1.5974773748584845E-4
1539786775,1.5974773748584845E-4
1539786778,1.5974773748584845E-4
1539786781,1.5974773748584845E-4
t,value
1539786800,1.3196552227091827E-4
1539786803,1.3196552227091827E-4
1539786806,1.3196552227091827E-4
1539786809,1.3196552227091827E-4
1539786812,1.3196552227091827E-4
1539786815,1.3196552227091827E-4
1539786818,1.3196552227091827E-4
1539786821,1.3196552227091827E-4
1539786824,1.3196552227091827E-4
1539786827,1.3196552227091827E-4
1539786830,1.3196552227091827E-4
1539786833,1.3196552227091827E-4
1539786836,1.3196552227091827E-4
1539786839,1.3196552227091827E-4
1539786842,1.3196552227091827E-4
1539786845,1.3196552227091827E-4
1539786848,1.3196552227091827E-4
1539786851,1.3196552227091827E-4
1539786854,1.3196552227091827E-4
1539786857,1.3196552227091827E-4
1539786860,1.3196552227091827E-4
1539786863,1.3196552227091827E-4
1539786866,1.3196552227091827E-4
1539786869,1.3196552227091827E-4
1539786872,1.3196552227091827E-4
1539786875,1.3196552227091827E-4
1539786878,1.3196552227091827E-4
1539786881,1.3196552227091827E-4
1539786884,1.3196552227091827E-4
1539786887,1.3196552227091827E-4
1539786890,1.3196552227091827E-4
1539786893,1.3196552227091827E-4
1539786896,1.3196552227091827E-4
1539786899,1.3196552227091827E-4
1539786902,1.3196552227091827E-4
1539786905,1.3196552227091827E-4
1539786908,1.3196552227091827E-4
1539786911,1.3196552227091827E-4
1539786914,1.3196552227091827E-4
1539786917,1.3196552227091827E-4
1539786920,1.3196552227091827E-4
1539786923,1.3196552227091827E-4
1539786926,1.3196552227091827E-4
1539786929,1.3196552227091827E-4
1539786932,1.3196552227091827E-4
1539786935,1.3196552227091827E-4
1539786938,1.3196552227091827E-4
1539786941,1.3196552227091827E-4
1539786944,1.3196552227091827E-4
1539786947,1.3196552227091827E-4
1539786950,1.3196552227091827E-4
1539786953,1.3196552227091827E-4
1539786956,1.3196552227091827E-4
1539786959,1.3196552227091827E-4
1539786962,1.3196552227091827E-4
1539786965,1.3196552227091827E-4
1539786968,1.3196552227091827E-4
1539786971,1.3196552227091827E-4
1539786974,1.3196552227091827E-4
1539786977,1.3196552227091827E-4
1539786980,1.3196552227091827E-4
1539786983,1.3196552227091827E-4
1539786986,1.3196552227091827E-4
1539786989,1.3196552227091827E-4
1539786992,1.3196552227091827E-4
1539786995,1.3196552227091827E-4
1539786998,1.3196552227091827E-4
1539787001,1.3196552227091827E-4
1539787004,1.3196552227091827E-4
1539787007,1.3196552227091827E-4
1539787010,1.3196552227091827E-4
1539787013,1.3196552227091827E-4
1539787016,1.3196552227091827E-4
1539787019,1.3196552227091827E-4
1539787022,1.3196552227091827E-4
1539787025,1.3196552227091827E-4
1539787028,1.3196552227091827E-4
1539787031,1.3196552227091827E-4
1539787034,1.3196552227091827E-4
1539787037,1.3196552227091827E-4
1539787040,1.3196552227091827E-4
1539787043,1.3196552227091827E-4
1539787046,1.3196552227091827E-4
1539787049,1.3196552227091827E-4
1539787052,1.3196552227091827E-4
1539787055,1.3196552227091827E-4
1539787058,1.3196552227091827E-4
1539787061,1.3196552227091827E-4
1539787064,1.3196552227091827E-4
1539787067,1.3196552227091827E-4
1539787070,1.3196552227091827E-4
1539787073,1.3196552227091827E-4
1539787076,1.3196552227091827E-4
1539787079,1.3196552227091827E-4
1539787082,1.3196552227091827E-4
1539787085,1.3196552227091827E-4
1539787088,1.3196552227091827E-4
1539787091,1.3196552227091827E-4
1539787094,1.3196552227091827E-4
1539787097,1.3196552227091827E-4
1539787100,1.3196552227091827E-4
1539787103,1.3196552227091827E-4
1539787106,1.3196552227091827E-4
1539787109,1.3196552227091827E-4
1539787112,1.3196552227091827E-4
1539787115,1.3196552227091827E-4
1539787118,1.3196552227091827E-4
1539787121,1.3196552227091827E-4
1539787124,1.3196552227091827E-4
1539787127,1.3196552227091827E-4
1539787130,1.3196552227091827E-4
1539787133,1.3196552227091827E-4
1539787136,1.3196552227091827E-4
1539787139,1.3196552227091827E-4
1539787142,1.3196552227091827E-4
1539787145,1.3196552227091827E-4
1539787148,1.3196552227091827E-4
1539787151,1.3196552227091827E-4
1539787154,1.3196552227091827E-4
1539787157,1.3196552227091827E-4
1539787160,1.3196552227091827E-4
1539787163,1.3196552227091827E-4
1539787166,1.3196552227091827E-4
1539787169,1.3196552227091827E-4
1539787172,1.3196552227091827E-4
1539787175,1.3196552227091827E-4
1539787178,1.3196552227091827E-4
1539787181,1.3196552227091827E-4
1539787184,1.3196552227091827E-4
1539787187,1.3196552227091827E-4
1539787190,1.3196552227091827E-4
1539787193,1.3196552227091827E-4
1539787196,1.3196552227091827E-4
1539787199,1.3196552227091827E-4
1539787202,1.3196552227091827E-4
1539787205,1.3196552227091827E-4
1539787208,1.3196552227091827E-4
1539787211,1.3196552227091827E-4
1539787214,1.3196552227091827E-4
1539787217,1.3196552227091827E-4
1539787220,1.3196552227091827E-4
1539787223,1.3196552227091827E-4
t,value
1539796323,3.445359726876938E-4
1539796326,3.445359726876938E-4
1539796329,3.445359726876938E-4
1539796332,3.445359726876938E-4
1539796335,3.445359726876938E-4
1539796338,3.445359726876938E-4
1539796341,3.445359726876938E-4
1539796344,3.445359726876938E-4
1539796347,3.445359726876938E-4
1539796350,3.445359726876938E-4
1539796353,3.445359726876938E-4
1539796356,3.445359726876938E-4
1539796359,3.445359726876938E-4
1539796362,3.445359726876938E-4
1539796365,3.445359726876938E-4
1539796368,3.445359726876938E-4
1539796371,3.445359726876938E-4
1539796374,3.445359726876938E-4
1539796377,3.445359726876938E-4
1539796380,3.445359726876938E-4
1539796383,3.445359726876938E-4
1539796386,3.445359726876938E-4
1539796389,3.445359726876938E-4
1539796392,3.445359726876938E-4
1539796395,3.445359726876938E-4
1539796398,3.862979087710506E-4
1539796401,3.862979087710506E-4
1539796404,3.862979087710506E-4
1539796407,3.862979087710506E-4
1539796410,3.862979087710506E-4
1539796413,3.862979087710506E-4
1539796416,3.862979087710506E-4
1539796419,3.862979087710506E-4
1539796422,3.862979087710506E-4
1539796425,3.9673839279188983E-4
1539796428,3.9673839279188983E-4
1539796431,3.9673839279188983E-4
1539796434,3.9673839279188983E-4
1539796437,3.9673839279188983E-4
1539796440,3.9673839279188983E-4
1539796443,3.9673839279188983E-4
1539796446,3.9673839279188983E-4
1539796449,3.9673839279188983E-4
1539796452,3.9673839279188983E-4
1539796455,3.9673839279188983E-4
1539796458,3.9673839279188983E-4
1539796461,3.9673839279188983E-4
1539796464,3.9673839279188983E-4
1539796467,3.9673839279188983E-4
1539796470,3.9673839279188983E-4
1539796473,3.9673839279188983E-4
1539796476,3.9673839279188983E-4
1539796479,3.9673839279188983E-4
1539796482,3.9673839279188983E-4
1539796485,3.9673839279188983E-4
1539796488,3.9673839279188983E-4
1539796491,3.9673839279188983E-4
1539796494,3.9673839279188983E-4
1539796497,3.9673839279188983E-4
1539796500,3.9673839279188983E-4
1539796503,3.9673839279188983E-4
1539796506,3.9673839279188983E-4
1539796509,3.9673839279188983E-4
1539796512,3.9673839279188983E-4
1539796515,3.9673839279188983E-4
1539796518,3.9673839279188983E-4
1539796521,3.9673839279188983E-4
1539796524,3.9673839279188983E-4
1539796527,3.9673839279188983E-4
1539796530,3.9673839279188983E-4
1539796533,3.9673839279188983E-4
1539796536,3.9673839279188983E-4
1539796539,3.9673839279188983E-4
1539796542,3.9673839279188983E-4
1539796545,3.9673839279188983E-4
1539796548,3.9673839279188983E-4
1539796551,3.9673839279188983E-4
1539796554,3.9673839279188983E-4
1539796557,3.9673839279188983E-4
1539796560,3.9673839279188983E-4
1539796563,3.9673839279188983E-4
1539796566,3.9673839279188983E-4
1539796569,3.9673839279188983E-4
1539796572,3.9673839279188983E-4
1539796575,3.9673839279188983E-4
1539796578,3.9673839279188983E-4
1539796581,3.9673839279188983E-4
1539796584,3.9673839279188983E-4
1539796587,3.9673839279188983E-4
1539796590,3.9673839279188983E-4
1539796593,3.9673839279188983E-4
1539796596,3.9673839279188983E-4
1539796599,3.9673839279188983E-4
1539796602,3.9673839279188983E-4
1539796605,3.9673839279188983E-4
1539796608,3.9673839279188983E-4
1539796611,3.9673839279188983E-4
1539796614,3.9673839279188983E-4
1539796617,3.9673839279188983E-4
1539796620,3.9673839279188983E-4
1539796623,3.9673839279188983E-4
1539796626,3.9673839279188983E-4
1539796629,3.9673839279188983E-4
1539796632,3.9673839279188983E-4
1539796635,3.9673839279188983E-4
1539796638,3.9673839279188983E-4
1539796641,3.9673839279188983E-4
1539796644,3.9673839279188983E-4
1539796647,3.9673839279188983E-4
1539796650,3.9673839279188983E-4
1539796653,3.9673839279188983E-4
1539796656,3.9673839279188983E-4
1539796659,3.9673839279188983E-4
1539796662,3.9673839279188983E-4
1539796665,3.9673839279188983E-4
1539796668,3.9673839279188983E-4
1539796671,3.9673839279188983E-4
1539796674,3.9673839279188983E-4
1539796677,3.9673839279188983E-4
1539796680,3.9673839279188983E-4
1539796683,3.9673839279188983E-4
1539796686,3.9673839279188983E-4
1539796689,3.9673839279188983E-4
1539796692,3.9673839279188983E-4
1539796695,3.9673839279188983E-4
1539796698,3.9673839279188983E-4
1539796701,3.9673839279188983E-4
1539796704,3.9673839279188983E-4
1539796707,3.9673839279188983E-4
1539796710,3.9673839279188983E-4
1539796713,3.9673839279188983E-4
1539796716,3.9673839279188983E-4
1539796719,3.9673839279188983E-4
1539796722,3.9673839279188983E-4
1539796725,3.9673839279188983E-4
1539796728,3.9673839279188983E-4
1539796731,3.9673839279188983E-4
1539796734,3.9673839279188983E-4
1539796737,3.9673839279188983E-4
1539796740,3.9673839279188983E-4
1539796743,3.9673839279188983E-4
1539796746,3.9673839279188983E-4
1539796749,3.9673839279188983E-4
1539796752,3.9673839279188983E-4
1539796755,3.9673839279188983E-4
1539796758,3.9673839279188983E-4
1539796761,3.9673839279188983E-4
1539796764,3.9673839279188983E-4
1539796767,3.9673839279188983E-4
1539796770,3.9673839279188983E-4
1539796773,3.9673839279188983E-4
1539796776,3.9673839279188983E-4
1539796779,3.9673839279188983E-4
1539796782,3.9673839279188983E-4
1539796785,3.9673839279188983E-4
1539796788,3.9673839279188983E-4
1539796791,3.9673839279188983E-4
1539796794,3.9673839279188983E-4
1539796797,3.9673839279188983E-4
1539796800,3.9673839279188983E-4
1539796803,3.9673839279188983E-4
1539796806,3.9673839279188983E-4
1539796809,3.9673839279188983E-4
1539796812,3.9673839279188983E-4
1539796815,3.9673839279188983E-4
1539796818,3.9673839279188983E-4
1539796821,3.9673839279188983E-4
1539796824,3.9673839279188983E-4
1539796827,3.9673839279188983E-4
1539796830,3.9673839279188983E-4
1539796833,3.9673839279188983E-4
1539796836,3.9673839279188983E-4
1539796839,3.9673839279188983E-4
1539796842,3.9673839279188983E-4
1539796845,3.9673839279188983E-4
1539796848,3.9673839279188983E-4
1539796851,3.9673839279188983E-4
1539796854,3.9673839279188983E-4
1539796857,3.9673839279188983E-4
1539796860,3.9673839279188983E-4
1539796863,3.9673839279188983E-4
1539796866,3.9673839279188983E-4
1539796869,3.9673839279188983E-4
1539796872,3.9673839279188983E-4
1539796875,3.9673839279188983E-4
1539796878,3.9673839279188983E-4
1539796881,3.9673839279188983E-4
1539796884,3.9673839279188983E-4
1539796887,3.9673839279188983E-4
1539796890,3.9673839279188983E-4
1539796893,3.9673839279188983E-4
1539796896,3.9673839279188983E-4
1539796899,3.9673839279188983E-4
1539796902,3.9673839279188983E-4
1539796905,3.9673839279188983E-4
1539796908,3.9673839279188983E-4
1539796911,3.9673839279188983E-4
1539796914,3.9673839279188983E-4
1539796917,3.9673839279188983E-4
1539796920,3.9673839279188983E-4
1539796923,3.9673839279188983E-4
1539796926,3.9673839279188983E-4
1539796929,3.9673839279188983E-4
1539796932,3.9673839279188983E-4
1539796935,3.9673839279188983E-4
1539796938,3.9673839279188983E-4
1539796941,3.9673839279188983E-4
1539796944,3.9673839279188983E-4
1539796947,3.9673839279188983E-4
1539796950,3.9673839279188983E-4
1539796953,3.9673839279188983E-4
1539796956,3.9673839279188983E-4
1539796959,3.9673839279188983E-4
1539796962,3.9673839279188983E-4
1539796965,3.9673839279188983E-4
1539796968,3.9673839279188983E-4
1539796971,3.9673839279188983E-4
1539796974,3.9673839279188983E-4
1539796977,3.9673839279188983E-4
1539796980,3.9673839279188983E-4
1539796983,3.9673839279188983E-4
1539796986,3.9673839279188983E-4
1539796989,3.9673839279188983E-4
1539796992,3.9673839279188983E-4
1539796995,3.9673839279188983E-4
1539796998,3.9673839279188983E-4
1539797001,3.9673839279188983E-4
1539797004,3.9673839279188983E-4
1539797007,3.9673839279188983E-4
1539797010,3.9673839279188983E-4
1539797013,3.9673839279188983E-4
1539797016,3.9673839279188983E-4
1539797019,3.9673839279188983E-4
1539797022,3.9673839279188983E-4
1539797025,3.9673839279188983E-4
1539797028,3.9673839279188983E-4
1539797031,3.9673839279188983E-4
1539797034,3.9673839279188983E-4
1539797037,3.9673839279188983E-4
1539797040,3.9673839279188983E-4
1539797043,3.9673839279188983E-4
1539797046,3.9673839279188983E-4
1539797049,3.9673839279188983E-4
1539797052,4.0717887681272904E-4
1539797055,4.0717887681272904E-4
1539797058,4.0717887681272904E-4
1539797061,4.0717887681272904E-4
1539797064,4.0717887681272904E-4
1539797067,4.0717887681272904E-4
1539797070,4.0717887681272904E-4
1539797073,4.0717887681272904E-4
1539797076,4.0717887681272904E-4
1539797079,4.0717887681272904E-4
1539797082,4.0717887681272904E-4
1539797085,4.0717887681272904E-4
1539797088,4.0717887681272904E-4
1539797091,4.0717887681272904E-4
1539797094,4.0717887681272904E-4
1539797097,4.0717887681272904E-4
1539797100,4.0717887681272904E-4
1539797103,4.0717887681272904E-4
1539797106,4.0717887681272904E-4
1539797109,4.0717887681272904E-4
1539797112,4.0717887681272904E-4
1539797115,4.0717887681272904E-4
1539797118,4.0717887681272904E-4
1539797121,4.0717887681272904E-4
1539797124,4.0717887681272904E-4
1539797127,4.0717887681272904E-4
1539797130,4.0717887681272904E-4
1539797133,4.0717887681272904E-4
1539797136,4.0717887681272904E-4
1539797139,4.0717887681272904E-4
1539797142,4.0717887681272904E-4
1539797145,4.0717887681272904E-4
1539797148,4.0717887681272904E-4
1539797151,4.0717887681272904E-4
1539797154,4.0717887681272904E-4
1539797157,4.0717887681272904E-4
1539797160,4.0717887681272904E-4
1539797163,4.0717887681272904E-4
1539797166,4.0717887681272904E-4
1539797169,4.0717887681272904E-4
1539797172,4.0717887681272904E-4
1539797175,4.0717887681272904E-4
1539797178,4.0717887681272904E-4
1539797181,4.0717887681272904E-4
1539797184,4.0717887681272904E-4
1539797187,4.0717887681272904E-4
1539797190,4.0717887681272904E-4
1539797193,4.0717887681272904E-4
1539797196,4.0717887681272904E-4
1539797199,4.0717887681272904E-4
1539797202,4.0717887681272904E-4
1539797205,4.0717887681272904E-4
1539797208,4.0717887681272904E-4
1539797211,4.0717887681272904E-4
1539797214,4.0717887681272904E-4
1539797217,4.0717887681272904E-4
1539797220,4.0717887681272904E-4
1539797223,4.0717887681272904E-4
1539797226,4.0717887681272904E-4
1539797229,4.0717887681272904E-4
1539797232,4.0717887681272904E-4
1539797235,4.0717887681272904E-4
1539797238,4.0717887681272904E-4
1539797241,4.0717887681272904E-4
1539797244,4.0717887681272904E-4
1539797247,4.0717887681272904E-4
1539797250,4.0717887681272904E-4
1539797253,4.0717887681272904E-4
1539797256,4.0717887681272904E-4
1539797259,4.0717887681272904E-4
1539797262,4.0717887681272904E-4
1539797265,4.0717887681272904E-4
1539797268,4.0717887681272904E-4
1539797271,4.0717887681272904E-4
1539797274,4.0717887681272904E-4
1539797277,4.0717887681272904E-4
1539797280,4.0717887681272904E-4
1539797283,4.0717887681272904E-4
1539797286,4.0717887681272904E-4
1539797289,4.0717887681272904E-4
1539797292,4.0717887681272904E-4
1539797295,4.0717887681272904E-4
1539797298,4.0717887681272904E-4
1539797301,4.0717887681272904E-4
1539797304,4.0717887681272904E-4
1539797307,4.0717887681272904E-4
1539797310,4.0717887681272904E-4
1539797313,4.0717887681272904E-4
1539797316,4.0717887681272904E-4
1539797319,4.0717887681272904E-4
1539797322,4.0717887681272904E-4
1539797325,4.0717887681272904E-4
1539797328,4.0717887681272904E-4
1539797331,4.0717887681272904E-4
1539797334,4.0717887681272904E-4
1539797337,4.0717887681272904E-4
1539797340,4.0717887681272904E-4
1539797343,4.0717887681272904E-4
1539797346,4.0717887681272904E-4
1539797349,4.0717887681272904E-4
1539797352,4.0717887681272904E-4
1539797355,4.0717887681272904E-4
1539797358,4.0717887681272904E-4
1539797361,4.0717887681272904E-4
1539797364,4.0717887681272904E-4
1539797367,4.0717887681272904E-4
1539797370,4.0717887681272904E-4
1539797373,4.0717887681272904E-4
1539797376,4.0717887681272904E-4
1539797379,4.0717887681272904E-4
1539797382,4.0717887681272904E-4
1539797385,4.0717887681272904E-4
1539797388,4.0717887681272904E-4
1539797391,4.0717887681272904E-4
1539797394,4.0717887681272904E-4
1539797397,4.0717887681272904E-4
1539797400,4.0717887681272904E-4
1539797403,4.0717887681272904E-4
1539797406,4.0717887681272904E-4
1539797409,4.0717887681272904E-4
1539797412,4.0717887681272904E-4
1539797415,4.0717887681272904E-4
1539797418,4.0717887681272904E-4
1539797421,4.0717887681272904E-4
1539797424,4.0717887681272904E-4
1539797427,4.0717887681272904E-4
1539797430,4.0717887681272904E-4
1539797433,4.0717887681272904E-4
1539797436,4.0717887681272904E-4
1539797439,4.0717887681272904E-4
1539797442,4.0717887681272904E-4
1539797445,4.0717887681272904E-4
1539797448,4.0717887681272904E-4
1539797451,4.0717887681272904E-4
1539797454,4.0717887681272904E-4
1539797457,4.0717887681272904E-4
1539797460,4.0717887681272904E-4
1539797463,4.0717887681272904E-4
1539797466,4.0717887681272904E-4
1539797469,4.0717887681272904E-4
1539797472,4.0717887681272904E-4
1539797475,4.0717887681272904E-4
1539797478,4.0717887681272904E-4
1539797481,4.0717887681272904E-4
1539797484,4.0717887681272904E-4
1539797487,4.0717887681272904E-4
1539797490,4.0717887681272904E-4
1539797493,4.0717887681272904E-4
1539797496,4.0717887681272904E-4
1539797499,4.0717887681272904E-4
1539797502,4.0717887681272904E-4
1539797505,4.0717887681272904E-4
1539797508,4.0717887681272904E-4
1539797511,4.0717887681272904E-4
1539797514,4.0717887681272904E-4
1539797517,4.0717887681272904E-4
1539797520,4.0717887681272904E-4
1539797523,4.0717887681272904E-4
1539797526,4.0717887681272904E-4
1539797529,4.0717887681272904E-4
1539797532,4.0717887681272904E-4
1539797535,4.0717887681272904E-4
1539797538,4.0717887681272904E-4
1539797541,4.0717887681272904E-4
1539797544,4.0717887681272904E-4
1539797547,4.0717887681272904E-4
1539797550,4.0717887681272904E-4
1539797553,4.0717887681272904E-4
1539797556,4.0717887681272904E-4
1539797559,4.0717887681272904E-4
1539797562,4.0717887681272904E-4
1539797565,4.0717887681272904E-4
1539797568,4.0717887681272904E-4
1539797571,4.0717887681272904E-4
1539797574,4.0717887681272904E-4
1539797577,4.0717887681272904E-4
1539797580,4.0717887681272904E-4
1539797583,4.0717887681272904E-4
1539797586,4.0717887681272904E-4
1539797589,4.0717887681272904E-4
1539797592,4.0717887681272904E-4
1539797595,4.0717887681272904E-4
1539797598,4.0717887681272904E-4
1539797601,4.0717887681272904E-4
1539797604,4.0717887681272904E-4
1539797607,4.0717887681272904E-4
1539797610,4.0717887681272904E-4
1539797613,4.0717887681272904E-4
1539797616,4.0717887681272904E-4
1539797619,4.0717887681272904E-4
1539797622,4.0717887681272904E-4
1539797625,4.0717887681272904E-4
1539797628,4.0717887681272904E-4
1539797631,4.0717887681272904E-4
1539797634,4.0717887681272904E-4
1539797637,4.0717887681272904E-4
1539797640,4.0717887681272904E-4
1539797643,4.0717887681272904E-4
1539797646,4.0717887681272904E-4
1539797649,4.0717887681272904E-4
1539797652,4.0717887681272904E-4
1539797655,4.0717887681272904E-4
1539797658,4.0717887681272904E-4
1539797661,4.0717887681272904E-4
1539797664,4.0717887681272904E-4
1539797667,4.0717887681272904E-4
1539797670,4.0717887681272904E-4
1539797673,4.0717887681272904E-4
1539797676,4.0717887681272904E-4
1539797679,4.0717887681272904E-4
1539797682,4.0717887681272904E-4
1539797685,4.0717887681272904E-4
1539797688,4.0717887681272904E-4
1539797691,4.0717887681272904E-4
1539797694,4.0717887681272904E-4
1539797697,4.0717887681272904E-4
1539797700,4.0717887681272904E-4
1539797703,4.0717887681272904E-4
1539797706,4.0717887681272904E-4
1539797709,4.0717887681272904E-4
1539797712,4.0717887681272904E-4
1539797715,4.0717887681272904E-4
1539797718,4.0717887681272904E-4
1539797721,4.0717887681272904E-4
1539797724,4.0717887681272904E-4
1539797727,4.0717887681272904E-4
1539797730,4.0717887681272904E-4
1539797733,4.0717887681272904E-4
1539797736,4.0717887681272904E-4
1539797739,4.0717887681272904E-4
1539797742,4.0717887681272904E-4
1539797745,4.0717887681272904E-4
1539797748,4.0717887681272904E-4
1539797751,4.0717887681272904E-4
1539797754,4.0717887681272904E-4
1539797757,4.0717887681272904E-4
1539797760,4.0717887681272904E-4
1539797763,4.0717887681272904E-4
1539797766,4.0717887681272904E-4
1539797769,4.0717887681272904E-4
1539797772,4.0717887681272904E-4
1539797775,4.0717887681272904E-4
1539797778,4.0717887681272904E-4
1539797781,4.0717887681272904E-4
1539797784,4.0717887681272904E-4
1539797787,4.0717887681272904E-4
1539797790,4.0717887681272904E-4
1539797793,4.0717887681272904E-4
1539797796,4.0717887681272904E-4
1539797799,4.0717887681272904E-4
1539797802,4.0717887681272904E-4
1539797805,4.0717887681272904E-4
1539797808,4.0717887681272904E-4
1539797811,4.0717887681272904E-4
1539797814,4.0717887681272904E-4
1539797817,4.0717887681272904E-4
1539797820,4.0717887681272904E-4
1539797823,4.0717887681272904E-4
1539797826,4.0717887681272904E-4
1539797829,4.0717887681272904E-4
1539797832,4.0717887681272904E-4
1539797835,4.0717887681272904E-4
1539797838,4.0717887681272904E-4
1539797841,4.0717887681272904E-4
1539797844,4.0717887681272904E-4
1539797847,4.0717887681272904E-4
1539797850,4.0717887681272904E-4
1539797853,4.0717887681272904E-4
1539797856,4.0717887681272904E-4
1539797859,4.0717887681272904E-4
1539797862,4.0717887681272904E-4
1539797865,4.0717887681272904E-4
1539797868,4.0717887681272904E-4
1539797871,4.0717887681272904E-4
1539797874,4.0717887681272904E-4
1539797877,4.0717887681272904E-4
1539797880,4.0717887681272904E-4
1539797883,4.0717887681272904E-4
1539797886,4.0717887681272904E-4
1539797889,4.0717887681272904E-4
1539797892,4.0717887681272904E-4
1539797895,4.0717887681272904E-4
1539797898,4.0717887681272904E-4
1539797901,4.0717887681272904E-4
1539797904,4.0717887681272904E-4
1539797907,4.0717887681272904E-4
1539797910,4.0717887681272904E-4
1539797913,4.0717887681272904E-4
1539797916,4.0717887681272904E-4
1539797919,4.0717887681272904E-4
1539797922,4.0717887681272904E-4
1539797925,4.0717887681272904E-4
1539797928,4.0717887681272904E-4
1539797931,4.0717887681272904E-4
1539797934,4.0717887681272904E-4
1539797937,4.0717887681272904E-4
1539797940,4.0717887681272904E-4
1539797943,4.0717887681272904E-4
1539797946,4.0717887681272904E-4
1539797949,4.0717887681272904E-4
1539797952,4.0717887681272904E-4
1539797955,4.0717887681272904E-4
1539797958,4.0717887681272904E-4
1539797961,4.0717887681272904E-4
1539797964,4.0717887681272904E-4
1539797967,4.0717887681272904E-4
1539797970,4.0717887681272904E-4
1539797973,4.0717887681272904E-4
1539797976,4.0717887681272904E-4
1539797979,4.0717887681272904E-4
1539797982,4.0717887681272904E-4
1539797985,4.0717887681272904E-4
1539797988,4.0717887681272904E-4
1539797991,4.0717887681272904E-4
1539797994,4.0717887681272904E-4
1539797997,4.0717887681272904E-4
1539798000,4.0717887681272904E-4
1539798003,4.0717887681272904E-4
1539798006,4.0717887681272904E-4
1539798009,4.0717887681272904E-4
1539798012,4.0717887681272904E-4
