t,value
1539786673,-1
1539786676,-1
1539786679,-1
1539786682,-1
1539786685,-1
1539786688,-1
1539786691,-1
1539786694,-1
1539786697,-1
1539786700,0
1539786703,6
1539786706,2
1539786709,2
1539786712,2
1539786715,2
1539786718,2
1539786721,2
1539786724,2
1539786727,2
1539786730,2
1539786733,2
1539786736,2
1539786739,2
1539786742,2
1539786745,2
1539786748,2
1539786751,2
1539786754,2
1539786757,2
1539786760,2
1539786763,2
1539786766,2
1539786769,2
1539786772,2
1539786775,2
1539786778,2
1539786781,2
t,value
1539786800,-1
1539786803,-1
1539786806,-1
1539786809,-1
1539786812,6
1539786815,2
1539786818,2
1539786821,1
1539786824,7
1539786827,7
1539786830,7
1539786833,7
1539786836,6
1539786839,7
1539786842,7
1539786845,7
1539786848,7
1539786851,7
1539786854,7
1539786857,7
1539786860,7
1539786863,7
1539786866,7
1539786869,7
1539786872,7
1539786875,7
1539786878,7
1539786881,7
1539786884,7
1539786887,7
1539786890,7
1539786893,7
1539786896,7
1539786899,7
1539786902,7
1539786905,7
1539786908,7
1539786911,7
1539786914,6
1539786917,6
1539786920,6
1539786923,6
1539786926,6
1539786929,6
1539786932,7
1539786935,7
1539786938,7
1539786941,7
1539786944,7
1539786947,7
1539786950,7
1539786953,7
1539786956,7
1539786959,7
1539786962,7
1539786965,7
1539786968,7
1539786971,7
1539786974,6
1539786977,6
1539786980,6
1539786983,6
1539786986,6
1539786989,6
1539786992,6
1539786995,6
1539786998,6
1539787001,6
1539787004,6
1539787007,6
1539787010,6
1539787013,6
1539787016,6
1539787019,6
1539787022,6
1539787025,6
1539787028,6
1539787031,6
1539787034,5
1539787037,5
1539787040,5
1539787043,5
1539787046,5
1539787049,5
1539787052,5
1539787055,5
1539787058,5
1539787061,5
1539787064,5
1539787067,5
1539787070,5
1539787073,5
1539787076,5
1539787079,5
1539787082,5
1539787085,5
1539787088,5
1539787091,5
1539787094,4
1539787097,4
1539787100,4
1539787103,4
1539787106,4
1539787109,4
1539787112,4
1539787115,4
1539787118,4
1539787121,4
1539787124,4
1539787127,4
1539787130,4
1539787133,4
1539787136,4
1539787139,4
1539787142,4
1539787145,4
1539787148,4
1539787151,4
1539787154,4
1539787157,4
1539787160,4
1539787163,4
1539787166,4
1539787169,3
1539787172,3
1539787175,3
1539787178,3
1539787181,3
1539787184,3
1539787187,3
1539787190,3
1539787193,3
1539787196,3
1539787199,3
1539787202,3
1539787205,3
1539787208,3
1539787211,3
1539787214,3
1539787217,3
1539787220,3
1539787223,3
