t,value
1539786673,1
1539786676,1
1539786679,1
1539786682,1
1539786685,1
1539786688,1
1539786691,1
1539786694,1
1539786697,1
1539786700,1
1539786703,1
1539786706,1
1539786709,1
1539786712,1
1539786715,1
1539786718,1
1539786721,1
1539786724,1
1539786727,1
1539786730,1
1539786733,1
1539786736,1
1539786739,1
1539786742,1
1539786745,1
1539786748,1
1539786751,1
1539786754,1
1539786757,1
1539786760,1
1539786763,1
1539786766,1
1539786769,1
1539786772,1
1539786775,1
1539786778,1
1539786781,1
t,value
1539786800,1
1539786803,1
1539786806,1
1539786809,1
1539786812,1
1539786815,1
1539786818,1
1539786821,1
1539786824,1
1539786827,1
1539786830,1
1539786833,1
1539786836,1
1539786839,1
1539786842,1
1539786845,2
1539786848,2
1539786851,2
1539786854,2
1539786857,2
1539786860,2
1539786863,2
1539786866,2
1539786869,2
1539786872,2
1539786875,2
1539786878,2
1539786881,2
1539786884,2
1539786887,2
1539786890,2
1539786893,2
1539786896,2
1539786899,2
1539786902,2
1539786905,2
1539786908,2
1539786911,2
1539786914,2
1539786917,2
1539786920,2
1539786923,2
1539786926,2
1539786929,2
1539786932,2
1539786935,2
1539786938,2
1539786941,2
1539786944,2
1539786947,2
1539786950,2
1539786953,2
1539786956,2
1539786959,2
1539786962,2
1539786965,2
1539786968,2
1539786971,2
1539786974,2
1539786977,2
1539786980,2
1539786983,2
1539786986,2
1539786989,2
1539786992,2
1539786995,2
1539786998,2
1539787001,2
1539787004,2
1539787007,2
1539787010,2
1539787013,2
1539787016,2
1539787019,2
1539787022,2
1539787025,2
1539787028,2
1539787031,2
1539787034,2
1539787037,2
1539787040,2
1539787043,2
1539787046,2
1539787049,2
1539787052,2
1539787055,2
1539787058,2
1539787061,2
1539787064,2
1539787067,2
1539787070,2
1539787073,2
1539787076,2
1539787079,2
1539787082,2
1539787085,2
1539787088,2
1539787091,2
1539787094,2
1539787097,2
1539787100,2
1539787103,2
1539787106,2
1539787109,2
1539787112,2
1539787115,2
1539787118,2
1539787121,2
1539787124,2
1539787127,2
1539787130,2
1539787133,2
1539787136,2
1539787139,2
1539787142,2
1539787145,2
1539787148,2
1539787151,2
1539787154,2
1539787157,2
1539787160,2
1539787163,2
1539787166,2
1539787169,2
1539787172,2
1539787175,2
1539787178,2
1539787181,2
1539787184,2
1539787187,2
1539787190,2
1539787193,2
1539787196,2
1539787199,2
1539787202,2
1539787205,2
1539787208,2
1539787211,2
1539787214,2
1539787217,2
1539787220,2
1539787223,2
t,value
1539796323,1
1539796326,1
1539796329,1
1539796332,1
1539796335,1
1539796338,1
1539796341,1
1539796344,1
1539796347,1
1539796350,1
1539796353,1
1539796356,1
1539796359,1
1539796362,1
1539796365,1
1539796368,1
1539796371,1
1539796374,1
1539796377,1
1539796380,1
1539796383,1
1539796386,1
1539796389,1
1539796392,1
1539796395,1
1539796398,2
1539796401,2
1539796404,2
1539796407,2
1539796410,2
1539796413,2
1539796416,2
1539796419,2
1539796422,2
1539796425,2
1539796428,2
1539796431,2
1539796434,2
1539796437,2
1539796440,2
1539796443,2
1539796446,2
1539796449,2
1539796452,2
1539796455,2
1539796458,2
1539796461,2
1539796464,2
1539796467,2
1539796470,2
1539796473,2
1539796476,2
1539796479,2
1539796482,2
1539796485,2
1539796488,2
1539796491,2
1539796494,2
1539796497,2
1539796500,2
1539796503,2
1539796506,2
1539796509,2
1539796512,2
1539796515,2
1539796518,2
1539796521,2
1539796524,2
1539796527,2
1539796530,2
1539796533,2
1539796536,2
1539796539,2
1539796542,2
1539796545,2
1539796548,2
1539796551,2
1539796554,2
1539796557,2
1539796560,2
1539796563,2
1539796566,2
1539796569,2
1539796572,2
1539796575,2
1539796578,2
1539796581,2
1539796584,2
1539796587,2
1539796590,2
1539796593,2
1539796596,2
1539796599,2
1539796602,2
1539796605,2
1539796608,2
1539796611,2
1539796614,2
1539796617,2
1539796620,2
1539796623,2
1539796626,2
1539796629,2
1539796632,2
1539796635,2
1539796638,2
1539796641,2
1539796644,2
1539796647,2
1539796650,2
1539796653,2
1539796656,2
1539796659,2
1539796662,2
1539796665,2
1539796668,2
1539796671,2
1539796674,2
1539796677,2
1539796680,2
1539796683,2
1539796686,2
1539796689,2
1539796692,2
1539796695,2
1539796698,2
1539796701,2
1539796704,2
1539796707,2
1539796710,2
1539796713,2
1539796716,2
1539796719,2
1539796722,2
1539796725,2
1539796728,2
1539796731,2
1539796734,2
1539796737,2
1539796740,2
1539796743,2
1539796746,2
1539796749,2
1539796752,2
1539796755,2
1539796758,2
1539796761,2
1539796764,2
1539796767,2
1539796770,2
1539796773,2
1539796776,2
1539796779,2
1539796782,2
1539796785,2
1539796788,2
1539796791,2
1539796794,2
