t,value
1539786673,20192768
1539786676,20192768
1539786679,22064144
1539786682,29360136
1539786685,28836360
1539786688,28653792
1539786691,28710912
1539786694,29960192
1539786697,29256192
1539786700,30694912
1539786703,31625696
1539786706,33641760
1539786709,33641760
1539786712,33641760
1539786715,33641760
1539786718,33641760
1539786721,33641760
1539786724,33641760
1539786727,33641760
1539786730,33641760
1539786733,33641760
1539786736,33641760
1539786739,33641760
1539786742,33641760
1539786745,33641760
1539786748,33641760
1539786751,33641760
1539786754,33641760
1539786757,33641760
1539786760,33641760
1539786763,33641760
1539786766,33641760
1539786769,34650752
1539786772,34650752
1539786775,34650752
1539786778,33036448
1539786781,33036448
t,value
1539786800,19824144
1539786803,20305496
1539786806,29360152
1539786809,28680704
1539786812,30255624
1539786815,30689288
1539786818,30689288
1539786821,32102352
1539786824,32102352
1539786827,32262144
1539786830,32262144
1539786833,32262144
1539786836,32262144
1539786839,32806400
1539786842,34332672
1539786845,35746688
1539786848,36704400
1539786851,36952592
1539786854,36448272
1539786857,36448272
1539786860,36448272
1539786863,36623856
1539786866,36623856
1539786869,36942864
1539786872,37402632
1539786875,37402632
1539786878,37402632
1539786881,37402632
1539786884,37096728
1539786887,37096728
1539786890,37096728
1539786893,37096728
1539786896,37096728
1539786899,37096728
1539786902,37096728
1539786905,36192336
1539786908,36192336
1539786911,36192336
1539786914,36192336
1539786917,36192336
1539786920,36192336
1539786923,35530992
1539786926,35530992
1539786929,35530992
1539786932,35530992
1539786935,35530992
1539786938,35530992
1539786941,35530992
1539786944,35670624
1539786947,35670624
1539786950,35670624
1539786953,35670624
1539786956,35670624
1539786959,35670624
1539786962,35670624
1539786965,34492384
1539786968,34492384
1539786971,34492384
1539786974,34492384
1539786977,34492384
1539786980,34492384
1539786983,35724416
1539786986,35724416
1539786989,35724416
1539786992,35724416
1539786995,35724416
1539786998,35724416
1539787001,35724416
1539787004,35724416
1539787007,35455776
1539787010,35455776
1539787013,35455776
1539787016,35455776
1539787019,35455776
1539787022,35455776
1539787025,35455776
1539787028,35455776
1539787031,35410824
1539787034,34362248
1539787037,34362248
1539787040,34362248
1539787043,34362248
1539787046,34362248
1539787049,34362248
1539787052,34362248
1539787055,35630240
1539787058,35630240
1539787061,35630240
1539787064,35630240
1539787067,35630240
1539787070,35630240
1539787073,35630240
1539787076,35630240
1539787079,35438880
1539787082,35438880
1539787085,35438880
1539787088,35438880
1539787091,35438880
1539787094,35438880
1539787097,35438880
1539787100,35438880
1539787103,34457792
1539787106,34457792
1539787109,34457792
1539787112,34457792
1539787115,34457792
1539787118,34457792
1539787121,34457792
1539787124,35566208
1539787127,35566208
1539787130,35566208
1539787133,35566208
1539787136,35566208
1539787139,35566208
1539787142,35677744
1539787145,35677744
1539787148,35677744
1539787151,35677744
1539787154,35677744
1539787157,35677744
1539787160,35677744
1539787163,34917352
1539787166,34917352
1539787169,34917352
1539787172,34917352
1539787175,34917352
1539787178,34917352
1539787181,34917352
1539787184,35741248
1539787187,35741248
1539787190,35741248
1539787193,35741248
1539787196,35741248
1539787199,35741248
1539787202,35741248
1539787205,35648864
1539787208,35648864
1539787211,35648864
1539787214,35648864
1539787217,35648864
1539787220,35648864
1539787223,34780656
