t,value
1539786673,27
1539786676,26
1539786679,27
1539786682,28
1539786685,28
1539786688,28
1539786691,29
1539786694,28
1539786697,28
1539786700,30
1539786703,36
1539786706,36
1539786709,36
1539786712,36
1539786715,36
1539786718,36
1539786721,36
1539786724,36
1539786727,36
1539786730,35
1539786733,34
1539786736,34
1539786739,34
1539786742,34
1539786745,34
1539786748,34
1539786751,34
1539786754,34
1539786757,34
1539786760,34
1539786763,34
1539786766,34
1539786769,34
1539786772,34
1539786775,34
1539786778,34
1539786781,34
t,value
1539786800,26
1539786803,26
1539786806,27
1539786809,27
1539786812,35
1539786815,35
1539786818,35
1539786821,37
1539786824,42
1539786827,42
1539786830,42
1539786833,42
1539786836,42
1539786839,43
1539786842,45
1539786845,46
1539786848,46
1539786851,46
1539786854,46
1539786857,44
1539786860,43
1539786863,44
1539786866,44
1539786869,43
1539786872,43
1539786875,42
1539786878,42
1539786881,42
1539786884,43
1539786887,42
1539786890,42
1539786893,42
1539786896,42
1539786899,42
1539786902,43
1539786905,42
1539786908,42
1539786911,42
1539786914,41
1539786917,41
1539786920,41
1539786923,42
1539786926,41
1539786929,41
1539786932,41
1539786935,41
1539786938,41
1539786941,41
1539786944,42
1539786947,41
1539786950,41
1539786953,41
1539786956,41
1539786959,41
1539786962,42
1539786965,41
1539786968,41
1539786971,41
1539786974,40
1539786977,40
1539786980,40
1539786983,41
1539786986,40
1539786989,40
1539786992,40
1539786995,40
1539786998,40
1539787001,40
1539787004,41
1539787007,40
1539787010,40
1539787013,40
1539787016,40
1539787019,40
1539787022,41
1539787025,40
1539787028,40
1539787031,40
1539787034,39
1539787037,39
1539787040,39
1539787043,40
1539787046,39
1539787049,39
1539787052,39
1539787055,39
1539787058,39
1539787061,39
1539787064,40
1539787067,39
1539787070,39
1539787073,39
1539787076,39
1539787079,39
1539787082,40
1539787085,39
1539787088,39
1539787091,39
1539787094,38
1539787097,38
1539787100,38
1539787103,39
1539787106,38
1539787109,38
1539787112,38
1539787115,38
1539787118,38
1539787121,38
1539787124,39
1539787127,38
1539787130,38
1539787133,38
1539787136,38
1539787139,38
1539787142,39
1539787145,38
1539787148,38
1539787151,38
1539787154,38
1539787157,38
1539787160,38
1539787163,39
1539787166,38
1539787169,37
1539787172,37
1539787175,37
1539787178,37
1539787181,37
1539787184,38
1539787187,37
1539787190,37
1539787193,37
1539787196,37
1539787199,37
1539787202,38
1539787205,37
1539787208,37
1539787211,37
1539787214,37
1539787217,37
1539787220,37
1539787223,38
t,value
1539796323,27
1539796326,35
1539796329,34
1539796332,35
1539796335,35
1539796338,35
1539796341,35
1539796344,35
1539796347,35
1539796350,35
1539796353,35
1539796356,35
1539796359,35
1539796362,35
1539796365,35
1539796368,35
1539796371,35
1539796374,35
1539796377,35
1539796380,34
1539796383,33
1539796386,33
1539796389,33
1539796392,33
1539796395,36
1539796398,36
1539796401,34
1539796404,34
1539796407,34
1539796410,34
1539796413,34
1539796416,34
1539796419,34
1539796422,34
1539796425,35
1539796428,34
1539796431,34
1539796434,34
1539796437,34
1539796440,35
1539796443,34
1539796446,34
1539796449,34
1539796452,34
1539796455,35
1539796458,34
1539796461,34
1539796464,34
1539796467,34
1539796470,34
1539796473,34
1539796476,34
1539796479,34
1539796482,35
1539796485,34
1539796488,34
1539796491,34
1539796494,34
1539796497,35
1539796500,34
1539796503,34
1539796506,34
1539796509,34
1539796512,34
1539796515,34
1539796518,34
1539796521,34
1539796524,34
1539796527,34
1539796530,35
1539796533,34
1539796536,34
1539796539,34
1539796542,34
1539796545,34
1539796548,34
1539796551,34
1539796554,34
1539796557,34
1539796560,34
1539796563,34
1539796566,35
1539796569,34
1539796572,34
1539796575,34
1539796578,34
1539796581,34
1539796584,35
1539796587,34
1539796590,34
1539796593,34
1539796596,34
1539796599,34
1539796602,34
1539796605,35
1539796608,34
1539796611,34
1539796614,34
1539796617,34
1539796620,34
1539796623,34
1539796626,34
1539796629,34
1539796632,34
1539796635,34
1539796638,34
1539796641,34
1539796644,34
1539796647,34
1539796650,34
1539796653,34
1539796656,34
1539796659,34
1539796662,34
1539796665,34
1539796668,34
1539796671,34
1539796674,34
1539796677,34
1539796680,34
1539796683,34
1539796686,34
1539796689,34
1539796692,34
1539796695,34
1539796698,35
1539796701,34
1539796704,34
1539796707,34
1539796710,34
1539796713,34
1539796716,34
1539796719,34
1539796722,34
1539796725,34
1539796728,34
1539796731,34
1539796734,34
1539796737,34
1539796740,34
1539796743,34
1539796746,34
1539796749,34
1539796752,34
1539796755,34
1539796758,35
1539796761,34
1539796764,34
1539796767,34
1539796770,34
1539796773,34
1539796776,34
1539796779,34
1539796782,34
1539796785,34
1539796788,34
1539796791,34
1539796794,34
1539796797,34
1539796800,34
1539796803,34
1539796806,34
1539796809,34
1539796812,35
1539796815,34
1539796818,34
1539796821,34
1539796824,34
1539796827,34
1539796830,34
1539796833,34
1539796836,34
1539796839,34
1539796842,34
1539796845,35
1539796848,34
1539796851,34
1539796854,34
1539796857,34
1539796860,34
1539796863,34
1539796866,34
1539796869,34
1539796872,34
1539796875,34
1539796878,35
1539796881,34
1539796884,34
1539796887,34
1539796890,34
1539796893,34
1539796896,34
1539796899,34
1539796902,34
1539796905,34
1539796908,34
1539796911,34
1539796914,34
1539796917,34
1539796920,34
1539796923,34
1539796926,34
1539796929,34
1539796932,34
1539796935,34
1539796938,34
1539796941,34
1539796944,34
1539796947,34
1539796950,34
1539796953,34
1539796956,34
1539796959,34
1539796962,35
1539796965,34
1539796968,34
1539796971,34
1539796974,34
1539796977,34
1539796980,34
1539796983,34
1539796986,34
1539796989,34
1539796992,35
1539796995,34
1539796998,34
1539797001,34
1539797004,34
1539797007,34
1539797010,34
1539797013,34
1539797016,35
1539797019,34
1539797022,34
1539797025,34
1539797028,34
1539797031,34
1539797034,34
1539797037,34
1539797040,34
1539797043,34
1539797046,34
1539797049,34
1539797052,35
1539797055,34
1539797058,34
1539797061,34
1539797064,34
1539797067,34
1539797070,34
1539797073,34
1539797076,34
1539797079,34
1539797082,34
1539797085,34
1539797088,34
1539797091,34
1539797094,34
1539797097,34
1539797100,34
1539797103,34
1539797106,34
1539797109,34
1539797112,34
1539797115,34
1539797118,34
1539797121,34
1539797124,34
1539797127,34
1539797130,34
1539797133,34
1539797136,34
1539797139,34
1539797142,34
1539797145,34
1539797148,34
1539797151,34
1539797154,34
1539797157,34
1539797160,34
1539797163,34
1539797166,34
1539797169,34
1539797172,34
1539797175,34
1539797178,35
1539797181,34
1539797184,34
1539797187,34
1539797190,34
1539797193,34
1539797196,34
1539797199,34
1539797202,34
1539797205,34
1539797208,34
1539797211,35
1539797214,34
1539797217,34
1539797220,34
1539797223,34
1539797226,34
1539797229,34
1539797232,34
1539797235,34
1539797238,35
1539797241,34
1539797244,34
1539797247,34
1539797250,34
1539797253,34
1539797256,34
1539797259,34
1539797262,34
1539797265,34
1539797268,34
1539797271,35
1539797274,34
1539797277,34
1539797280,34
1539797283,34
1539797286,34
1539797289,34
1539797292,34
1539797295,34
1539797298,34
1539797301,34
1539797304,35
1539797307,34
1539797310,34
1539797313,34
1539797316,34
1539797319,34
1539797322,34
1539797325,34
1539797328,35
1539797331,34
1539797334,34
1539797337,34
1539797340,34
1539797343,34
1539797346,34
1539797349,34
1539797352,34
1539797355,34
1539797358,34
1539797361,35
1539797364,34
1539797367,34
1539797370,34
1539797373,34
1539797376,34
1539797379,34
1539797382,34
1539797385,34
1539797388,34
1539797391,34
1539797394,34
1539797397,35
1539797400,34
1539797403,34
1539797406,34
1539797409,34
1539797412,34
1539797415,34
1539797418,34
1539797421,34
1539797424,35
1539797427,34
1539797430,34
1539797433,34
1539797436,34
1539797439,34
1539797442,34
1539797445,34
1539797448,34
1539797451,34
1539797454,34
1539797457,34
1539797460,34
1539797463,34
1539797466,34
1539797469,34
1539797472,34
1539797475,34
1539797478,35
1539797481,34
1539797484,34
1539797487,34
1539797490,34
1539797493,34
1539797496,34
1539797499,34
1539797502,35
1539797505,34
1539797508,34
1539797511,34
1539797514,34
1539797517,34
1539797520,34
1539797523,34
1539797526,34
1539797529,34
1539797532,34
1539797535,34
1539797538,34
1539797541,35
1539797544,34
1539797547,34
1539797550,34
1539797553,34
1539797556,34
1539797559,34
1539797562,34
1539797565,34
1539797568,34
1539797571,34
1539797574,34
1539797577,35
1539797580,34
1539797583,34
1539797586,34
1539797589,34
1539797592,34
1539797595,34
1539797598,34
1539797601,35
1539797604,34
1539797607,34
1539797610,34
1539797613,34
1539797616,34
1539797619,34
1539797622,34
1539797625,34
1539797628,35
1539797631,34
1539797634,34
1539797637,34
1539797640,34
1539797643,34
1539797646,34
1539797649,34
1539797652,34
1539797655,35
1539797658,34
1539797661,34
1539797664,34
1539797667,34
1539797670,34
1539797673,34
1539797676,34
1539797679,34
1539797682,34
1539797685,34
1539797688,34
1539797691,34
1539797694,34
1539797697,34
1539797700,34
1539797703,34
1539797706,34
1539797709,34
1539797712,34
1539797715,34
1539797718,34
1539797721,34
1539797724,34
1539797727,34
1539797730,34
1539797733,34
1539797736,34
1539797739,34
1539797742,34
1539797745,34
1539797748,34
1539797751,34
1539797754,34
1539797757,34
1539797760,34
1539797763,34
1539797766,34
1539797769,34
1539797772,34
1539797775,34
1539797778,34
1539797781,35
1539797784,34
1539797787,34
1539797790,34
1539797793,34
1539797796,34
1539797799,34
1539797802,34
1539797805,34
1539797808,34
1539797811,34
1539797814,34
1539797817,34
1539797820,34
1539797823,35
1539797826,34
1539797829,34
1539797832,34
1539797835,34
1539797838,34
1539797841,34
1539797844,34
1539797847,34
1539797850,34
1539797853,34
1539797856,35
1539797859,34
1539797862,34
1539797865,34
1539797868,34
1539797871,34
1539797874,34
1539797877,34
1539797880,34
1539797883,34
1539797886,34
1539797889,34
1539797892,35
1539797895,34
1539797898,34
1539797901,34
1539797904,34
1539797907,34
1539797910,34
1539797913,34
1539797916,34
1539797919,35
1539797922,34
1539797925,34
1539797928,34
1539797931,34
1539797934,34
1539797937,34
1539797940,34
1539797943,34
1539797946,34
1539797949,35
1539797952,34
1539797955,34
1539797958,34
1539797961,34
1539797964,34
1539797967,34
1539797970,34
1539797973,34
1539797976,34
1539797979,34
1539797982,35
1539797985,34
1539797988,34
1539797991,34
1539797994,34
1539797997,34
1539798000,34
1539798003,34
1539798006,34
1539798009,34
1539798012,34
1539798015,34
1539798018,34
1539798021,34
1539798024,34
1539798027,34
1539798030,35
1539798033,35
1539798036,35
1539798039,35
1539798042,35
1539798045,35
1539798048,35
1539798051,35
1539798054,35
1539798057,35
1539798060,35
1539798063,35
1539798066,35
1539798069,35
1539798072,35
1539798075,35
1539798078,35
1539798081,36
1539798084,35
1539798087,35
1539798090,34
1539798093,34
1539798096,34
1539798099,34
1539798102,34
1539798105,34
1539798108,34
1539798111,34
1539798114,34
1539798117,34
1539798120,35
1539798123,34
1539798126,34
1539798129,34
1539798132,34
1539798135,34
1539798138,34
1539798141,34
1539798144,34
1539798147,34
1539798150,34
1539798153,34
1539798156,34
1539798159,34
1539798162,34
1539798165,34
1539798168,34
1539798171,34
1539798174,34
1539798177,34
1539798180,34
1539798183,34
1539798186,34
1539798189,34
1539798192,35
1539798195,34
1539798198,34
1539798201,34
1539798204,34
1539798207,34
1539798210,34
1539798213,34
1539798216,34
1539798219,34
1539798222,34
1539798225,34
1539798228,34
1539798231,34
1539798234,34
1539798237,34
1539798240,34
1539798243,34
1539798246,34
1539798249,34
1539798252,34
1539798255,34
1539798258,34
1539798261,34
1539798264,34
1539798267,34
1539798270,34
1539798273,34
1539798276,34
1539798279,34
1539798282,34
1539798285,34
1539798288,34
1539798291,34
1539798294,34
1539798297,34
1539798300,34
1539798303,34
1539798306,34
1539798309,34
1539798312,34
1539798315,34
1539798318,34
1539798321,34
1539798324,34
1539798327,34
1539798330,34
1539798333,34
1539798336,34
1539798339,34
1539798342,34
1539798345,34
1539798348,34
1539798351,34
1539798354,34
1539798357,34
1539798360,34
1539798363,34
1539798366,34
1539798369,34
1539798372,34
1539798375,34
1539798378,34
1539798381,34
1539798384,34
1539798387,34
1539798390,34
1539798393,34
1539798396,34
1539798399,34
1539798402,34
1539798405,34
1539798408,34
1539798411,34
1539798414,34
1539798417,34
1539798420,34
1539798423,34
1539798426,34
1539798429,34
1539798432,34
1539798435,34
1539798438,34
1539798441,34
1539798444,34
1539798447,34
1539798450,34
1539798453,34
1539798456,34
1539798459,34
1539798462,34
1539798465,34
1539798468,34
1539798471,34
1539798474,34
1539798477,34
1539798480,34
1539798483,34
1539798486,34
1539798489,34
1539798492,34
1539798495,34
1539798498,34
1539798501,34
1539798504,34
1539798507,34
1539798510,34
1539798513,34
1539798516,34
1539798519,34
1539798522,34
1539798525,34
1539798528,34
1539798531,34
1539798534,34
1539798537,34
1539798540,34
1539798543,34
1539798546,34
1539798549,34
1539798552,34
1539798555,34
1539798558,34
1539798561,34
1539798564,34
1539798567,34
1539798570,34
1539798573,34
1539798576,34
1539798579,34
1539798582,34
1539798585,34
1539798588,34
1539798591,34
1539798594,34
1539798597,34
1539798600,34
1539798603,34
1539798606,34
1539798609,34
1539798612,34
1539798615,34
1539798618,34
1539798621,34
1539798624,34
1539798627,34
1539798630,34
1539798633,34
1539798636,34
1539798639,34
1539798642,34
1539798645,34
1539798648,34
1539798651,34
1539798654,34
1539798657,34
1539798660,34
1539798663,34
1539798666,34
1539798669,34
1539798672,34
1539798675,34
1539798678,34
1539798681,34
1539798684,34
1539798687,34
1539798690,34
1539798693,34
1539798696,34
1539798699,34
1539798702,34
1539798705,34
1539798708,34
1539798711,34
1539798714,34
1539798717,34
1539798720,34
1539798723,34
1539798726,34
1539798729,34
1539798732,34
1539798735,34
1539798738,34
1539798741,34
1539798744,34
1539798747,34
1539798750,34
1539798753,34
1539798756,34
1539798759,34
1539798762,34
1539798765,34
1539798768,34
1539798771,34
1539798774,34
1539798777,34
1539798780,34
1539798783,34
1539798786,34
1539798789,34
1539798792,34
1539798795,34
1539798798,34
